id	RNF43_WT_4	RNF43_WT_3	RNF43_WT_2	RNF43_WT_1	GFP_4	GFP_3	GFP_2	GFP_1	RNF43_659fs_4	RNF43_659fs_3	RNF43_659fs_2	RNF43_659fs_1	RNF43_117fs_4	RNF43_117fs_3	RNF43_117fs_2	RNF43_117fs_1
ENSG00000080031.9	-0.2096	-0.0687	-0.7355	-0.2628	0.2497	0.1909	1.0263	1.7719	-1.7969	-1.7378	-1.3618	0.4311	0.8372	0.2789	0.7921	0.5949
ENSG00000168300.13	-0.9260	0.2866	-0.1751	-0.1436	0.7531	0.9289	1.4204	0.4801	0.2373	0.5821	-0.1967	-0.4760	-3.0572	0.1211	0.4671	-0.3021
ENSG00000231982.1	-1.3105	0.7783	-0.8538	1.0629	0.1705	1.3024	-0.8375	-0.2859	-1.7939	0.4635	-0.4560	-1.1171	1.1753	1.0910	0.8812	-0.2706
ENSG00000106125.14	0.4915	0.1735	-0.4850	-0.1056	1.7534	-0.5558	0.9352	1.5984	-1.3941	-1.5714	-0.8291	-1.0584	-0.4325	-0.0634	0.5889	0.9543
ENSG00000076984.17	-0.3435	-0.3612	-1.0207	-1.3082	-0.2789	-0.4833	-0.2135	-0.0517	-0.5762	0.2307	0.5438	-0.5031	3.0722	1.0896	-0.0689	0.2729
ENSG00000196220.15	-1.2571	-0.0137	0.2779	0.2645	0.8281	1.2237	0.8529	-0.2651	-1.2932	-1.1782	-1.0646	-1.6942	0.9827	0.6073	1.3105	0.4187
ENSG00000133624.13	-1.6712	-1.1219	-0.8543	-0.5643	1.4069	1.4513	0.7854	1.1043	-0.9796	-0.6766	-1.1384	0.1751	0.7816	0.3672	0.6283	0.3061
ENSG00000155974.11	0.1770	-0.9999	-1.5093	0.9609	1.0526	0.5382	0.6078	0.9116	-0.9510	1.1314	-0.6422	-1.5142	1.0077	0.6419	-0.0527	-1.3600
ENSG00000117394.19	-0.6195	0.2968	-0.8020	-0.6611	0.8306	-0.5075	0.5717	0.5086	-0.0915	0.0451	-0.4539	0.4440	2.9131	-1.5265	-0.8174	-0.1305
ENSG00000261840.2	0.0458	-1.6970	-1.5304	-0.4386	-1.0617	0.9934	-0.3931	-1.0676	0.2090	0.6158	1.4597	0.1879	1.4661	1.1168	-0.2577	0.3516
ENSG00000185432.11	-1.3937	-0.9506	-1.7882	-1.3215	-0.0564	1.6220	0.3238	1.2789	-0.4825	0.4187	0.1580	-0.0788	-0.0473	1.3521	0.7063	0.2590
ENSG00000283029.1	-0.0063	1.1313	-0.7936	-1.1489	-0.3643	1.2611	0.4537	2.3481	0.7972	-0.8891	-0.0776	-1.3264	-0.6272	-0.4329	-0.6638	0.3388
ENSG00000278126.1	-0.6641	-0.3459	0.3384	1.7489	0.0543	0.6177	-1.5402	-0.3570	1.3608	0.6579	-0.7288	0.7037	-2.0528	-0.4035	-0.1987	0.8093
ENSG00000165813.16	0.0357	-0.0014	0.4155	-1.1514	1.6687	0.3319	1.0452	-1.0089	-0.3810	0.4115	0.2194	-0.7113	-2.3896	1.1033	0.7607	-0.3482
ENSG00000009724.16	-0.9796	-0.3824	-0.6571	0.9062	1.4807	2.3272	0.4481	1.0877	0.1642	-0.3463	-0.3402	-0.2723	-0.9367	-1.2562	-0.4171	-0.8262
ENSG00000237424.1	-1.1579	-0.5626	-1.0485	0.1482	1.5649	1.3828	0.7006	1.8855	-0.4043	-0.0795	0.0753	0.2036	-0.3024	-1.3511	-1.2771	0.2225
ENSG00000177519.3	-0.9852	-0.6098	-0.0870	-1.0301	-1.4768	-0.1255	-0.4896	0.5173	1.0519	0.3719	0.5057	0.1057	2.7902	0.1123	0.1008	-0.7518
ENSG00000165102.14	0.4578	0.7562	0.1919	0.3090	-0.6542	1.2412	-0.7301	0.8004	0.3407	-0.2377	0.4254	0.3199	-1.9659	-2.2261	-0.2875	1.2591
ENSG00000134072.10	0.7214	0.3758	-0.7348	0.2073	1.0900	-0.5830	-0.0473	1.4837	0.2558	-1.4468	-0.5560	1.1120	1.2220	-2.0611	-0.3816	-0.6574
ENSG00000049239.12	0.4123	1.3753	-0.5347	0.8592	-1.4822	0.9476	-1.1603	0.8903	0.4968	-0.8954	-1.1644	-0.3297	0.9906	-1.1134	-0.5670	1.2748
ENSG00000178075.19	0.1820	-0.4586	-1.1821	-0.5368	0.7423	0.2767	1.5680	1.2434	0.9122	-1.3310	0.1423	0.5061	-1.5456	-0.4446	1.1815	-1.2555
ENSG00000162576.16	-1.6593	0.0562	-0.9109	-1.4430	1.6795	0.7078	0.9683	1.2885	0.4917	-0.4797	1.0486	-0.9788	0.3650	-0.4896	0.0667	-0.7110
ENSG00000108443.13	-1.7723	-1.0566	-0.5314	-0.0725	1.5454	1.0913	1.7645	0.3322	-0.6483	-0.0699	-0.4103	-0.8360	-0.9915	0.8841	0.7712	0.0002
ENSG00000280130.1	0.9236	0.9708	0.3290	-0.5654	1.1270	0.1426	0.4867	-0.8750	0.2427	-0.2645	0.2452	0.5970	-3.1207	-0.2579	-0.2486	0.2675
